,Genre,variable,value
562,Mystery,Aruba,0.0
563,News,Aruba,0.0
564,Reality-TV,Aruba,0.0
565,Romance,Aruba,0.0
566,Sci-Fi,Aruba,0.0
567,Short,Aruba,0.0
568,Sport,Aruba,0.0
569,Thriller,Aruba,0.333333333333
570,War,Aruba,0.0
571,Western,Aruba,0.0
572,Action,Denmark,0.0769230769231
573,Adventure,Denmark,0.0384615384615
574,Animation,Denmark,0.0384615384615
575,Biography,Denmark,0.0
576,Comedy,Denmark,0.0384615384615
577,Crime,Denmark,0.0769230769231
578,Documentary,Denmark,0.0384615384615
579,Drama,Denmark,0.346153846154
580,Family,Denmark,0.0
581,Fantasy,Denmark,0.0384615384615
582,Film-Noir,Denmark,0.0
583,Game-Show,Denmark,0.0
584,History,Denmark,0.0384615384615
585,Horror,Denmark,0.0
586,Music,Denmark,0.0
587,Musical,Denmark,0.0384615384615
588,Mystery,Denmark,0.0
589,News,Denmark,0.0
590,Reality-TV,Denmark,0.0
591,Romance,Denmark,0.0
592,Sci-Fi,Denmark,0.115384615385
593,Short,Denmark,0.0
594,Sport,Denmark,0.0
595,Thriller,Denmark,0.0769230769231
596,War,Denmark,0.0384615384615
597,Western,Denmark,0.0
598,Action,Libya,0.0
599,Adventure,Libya,0.0
600,Animation,Libya,0.0
601,Biography,Libya,0.25
602,Comedy,Libya,0.0
603,Crime,Libya,0.0
604,Documentary,Libya,0.0
605,Drama,Libya,0.25
606,Family,Libya,0.0
607,Fantasy,Libya,0.0
608,Film-Noir,Libya,0.0
609,Game-Show,Libya,0.0
610,History,Libya,0.25
611,Horror,Libya,0.0
612,Music,Libya,0.0
613,Musical,Libya,0.0
614,Mystery,Libya,0.0
615,News,Libya,0.0
616,Reality-TV,Libya,0.0
617,Romance,Libya,0.0
618,Sci-Fi,Libya,0.0
619,Short,Libya,0.0
620,Sport,Libya,0.0
621,Thriller,Libya,0.0
622,War,Libya,0.25
623,Western,Libya,0.0
624,Action,Ireland,0.0625
625,Adventure,Ireland,0.0
626,Animation,Ireland,0.0
627,Biography,Ireland,0.03125
628,Comedy,Ireland,0.125
629,Crime,Ireland,0.09375
630,Documentary,Ireland,0.0
631,Drama,Ireland,0.21875
632,Family,Ireland,0.0
633,Fantasy,Ireland,0.0
634,Film-Noir,Ireland,0.0
635,Game-Show,Ireland,0.0
636,History,Ireland,0.0
637,Horror,Ireland,0.09375
638,Music,Ireland,0.03125
639,Musical,Ireland,0.0
640,Mystery,Ireland,0.03125
641,News,Ireland,0.0
642,Reality-TV,Ireland,0.0
643,Romance,Ireland,0.15625
644,Sci-Fi,Ireland,0.0
645,Short,Ireland,0.0
646,Sport,Ireland,0.0
647,Thriller,Ireland,0.125
648,War,Ireland,0.03125
649,Western,Ireland,0.0
650,Action,South Africa,0.0833333333333
651,Adventure,South Africa,0.125
652,Animation,South Africa,0.0833333333333
653,Biography,South Africa,0.0833333333333
654,Comedy,South Africa,0.0416666666667
655,Crime,South Africa,0.0416666666667
656,Documentary,South Africa,0.0
657,Drama,South Africa,0.208333333333
658,Family,South Africa,0.0833333333333
659,Fantasy,South Africa,0.0
660,Film-Noir,South Africa,0.0
661,Game-Show,South Africa,0.0
662,History,South Africa,0.0416666666667
663,Horror,South Africa,0.0
664,Music,South Africa,0.0
665,Musical,South Africa,0.0
666,Mystery,South Africa,0.0
667,News,South Africa,0.0
668,Reality-TV,South Africa,0.0
669,Romance,South Africa,0.0833333333333
670,Sci-Fi,South Africa,0.0833333333333
671,Short,South Africa,0.0
672,Sport,South Africa,0.0
673,Thriller,South Africa,0.0416666666667
674,War,South Africa,0.0
675,Western,South Africa,0.0
676,Action,Iceland,0.0
677,Adventure,Iceland,0.0
678,Animation,Iceland,0.0
679,Biography,Iceland,0.0
680,Comedy,Iceland,0.142857142857
681,Crime,Iceland,0.142857142857
682,Documentary,Iceland,0.0
683,Drama,Iceland,0.428571428571
684,Family,Iceland,0.0
685,Fantasy,Iceland,0.0
686,Film-Noir,Iceland,0.0
687,Game-Show,Iceland,0.0
688,History,Iceland,0.0
689,Horror,Iceland,0.0
690,Music,Iceland,0.0
691,Musical,Iceland,0.0
692,Mystery,Iceland,0.0
693,News,Iceland,0.0
694,Reality-TV,Iceland,0.0
695,Romance,Iceland,0.142857142857
696,Sci-Fi,Iceland,0.0
697,Short,Iceland,0.0
698,Sport,Iceland,0.0
699,Thriller,Iceland,0.142857142857
